中文名,外文名,机构属性,行动领域,细分行动领域,设立年份,所在地,官网,微信公众号,LinkedIn,机构介绍,参考资料
国际地质科学联合会常设秘书处,International Union of Geological Sciences (IUGS),国际组织年鉴,学术研究,地球科学-地质国际合作,2012,北京,https://www.iugs.org/,,,,
国际工程地质与环境协会秘书处,International Association of Engineering Geology and the Environment (IAEG),国际组织年鉴,学术研究,工程地质-环境地质,2015,浙江绍兴,https://iaeg.info/,,,,
国际糖业科技协会,International Association of Professionals in Sugar and Integrated Technologies (IAPSIT),国际组织年鉴,农业食品,农业加工-糖业技术,2004,广西南宁,https://sugarcon2026china.com/,,,,
国际木材解剖学家协会北京秘书处,International Association of Wood Anatomists (IAWA),国际组织年鉴,学术研究,植物科学-木材解剖,2017,北京,http://iawa-website1.org/,iawa木材解剖通讯,,,
国际田间试验机械化协会,International Association on Mechanization of Field Experiments (IAMFE),国际组织年鉴,农业食品,农业工程-机械化试验,2008,山东青岛,,,,,
国际矿床成因协会中国国家委员会,International Association on the Genesis of Ore Deposits (IAGOD) National Group of China,国际组织年鉴,学术研究,地球科学-矿床地质,1994,北京,http://iagod.org/,矿床成因,,,
国际丝绸联盟,International Silk Union (ISU),国际组织年鉴,经贸合作,丝绸产业-纺织合作,2015,香港,https://www.intsilk.com/,国际丝绸联盟,,,
世界工业与技术研究组织协会秘书处,World Association of Industrial and Technological Research Organizations (WAITRO),国际组织年鉴,数字信息,科技创新-产业研究网络,1970,江苏南京,https://waitro.org/,江苏省产业技术研究院,,,
世界水土保持学会秘书处,World Association of Soil and Water Conservation (WASWAC),"国际性社会组织,国际组织年鉴",气候能源,环境与生态-水土保持,2003,北京,http://www.waswac.org.cn/waswac/index.htm,世界水土保持学会WASWAC,,,
世界电子竞技联盟,World Esports Consortium (WeSCO),国际组织年鉴,文体交流,电子竞技-行业治理,2016,北京,https://www.wescoesport.com/dgs/index.php,,,,
“一带一路”国际科学组织联盟,The Alliance of National and International Science Organizations for the Belt and Road Regions (ANSO),"国际性社会组织,国际组织年鉴",学术研究,科研合作-科学组织网络,2018,北京,https://www.anso.org.cn/ch/,一带一路国际科学组织联盟 ANSO,,,
亚太血液联盟,Asia-Pacific Hematology Consortium (APHCON),国际组织年鉴,卫生健康,医学-血液学,2011,北京,https://aphcon-org.pautus.com/index.html,,,,
“一带一路”税收征管合作机制,Belt and Road Initiative Tax Administration Cooperation Mechanism (BRITACOM),国际组织年鉴,金融治理,税务治理-政府间合作机制,2019,北京,https://www.britacom.org/,,,,
世界大学气候变化联盟,Global Alliance of Universities on Climate (GAUC),国际组织年鉴,气候能源,气候变化-高校联盟,2019,北京,https://www.gauc.net/,清华大学气候变化研究院,,,
全球能源互联网发展合作组织,Global Energy Interconnection Development and Cooperation Organization (GEIDCO),"国际性社会组织,国际组织年鉴",气候能源,能源-电网互联,2016,北京,https://en.geidco.org.cn/,全球能源互联网发展合作组织,,,
国际文学伦理学批评研究会,International Association for Ethical Literary Criticism (IAELC),国际组织年鉴,学术研究,文学研究-伦理批评,2012,浙江宁波,,文学伦理学批评研究,,,
国际茶花协会（主席办公室）,International Camellia Society (ICS),国际组织年鉴,农业食品,园艺-植物学,2016,云南昆明,https://internationalcamellia.org/zh-hans/,中国科学院昆明植物研究所,,,
国际钢铁行业分析委员会,International Committee of Analysis for Steel and Iron Industry (ISASI),国际组织年鉴,学术研究,冶金-钢铁检测,1992,北京,https://www.icasi-society.com/,,,,
国际健身气功联合会,International Health Qigong Federation (IHQF),"国际性社会组织,国际组织年鉴",文体交流,公共卫生-传统体育,2012,北京,https://ihqfo.org/,国际健身气功联合会IHQF,,,
国际仿生工程学会秘书处,International Society of Bionic Engineering (ISBE),"国际性社会组织,国际组织年鉴",学术研究,工程技术-仿生工程,2010,吉林长春,https://isbe-online.com/,国际仿生工程学会,,,
国际生物材料科学与工程学会联合会秘书处,International Union of Societies for Biomaterials Science and Engineering (IUSBSE),国际组织年鉴,卫生健康,生物材料-生物医学工程,2016,四川成都,https://www.iusbse.org/,中国生物材料学会,,,
